timestamp,s1_c1_y,s1_c2_y,s2_c1_y,s2_c2_y,s3_c1_y,s3_c2_y,s4_c1_y,s4_c2_y,s5_c1_y,s5_c2_y,s6_c1_y,s6_c2_y
-85,0,67.9428,0,55.4,0,68,0,37.1,0,63.4792,0,66.9783
-84,0,67.9147,0,55.1,0,68,0,36.8,0,63.1893,0,66.8333
-83,0,67.8785,0,54.8,0,68,0,36.5,0,62.8955,0,66.6783
-82,0,67.8333,0,54.5,0,68,0,36.2,0,62.5987,0,66.5133
-81,0,67.7783,0,54.2,0,68,0,35.9,0,62.2998,0,66.3383
-80,0,67.7133,0,53.9,0,68,0,35.6,0,62,0,66.1533
-79,0,67.6383,0,53.6,0,68,0,35.3,0,61.7,0,65.9583
-78,0,67.5533,0,53.3,0,68,0,35,0,61.4,0,65.7533
-77,0,67.4583,0,53,0,68,0,34.7,0,61.1,0,65.5383
-76,0,67.3533,0,52.7,0,68,0,34.4,0,60.8,0,65.3133
-75,0,67.2383,0,52.4,0,68,0,34.1,0,60.5,0,65.0783
-74,0,67.1133,0,52.1,0,68,0,33.8,0,60.2,0,64.8333
-73,0,66.9783,0,51.8,0,68,0,33.5,0,59.9,0,64.5785
-72,0,66.8333,0,51.5,0,68,0,33.2,0,59.6,0,64.3147
-71,0,66.6783,0,51.2,0,68,0,32.9,0,59.3,0,64.0428
-70,0,66.5133,0,50.9,0,68,0,32.6,0,59,0,63.764
-69,0,66.3383,0,50.6,0,68,0,32.3,0,58.7,0,63.4792
-68,0,66.1533,0,50.3,0,68,0,32,0,58.4,0,63.1893
-67,0,65.9583,0,50,0,68,0,31.7,0,58.1,0,62.8955
-66,0,65.7533,0,49.7,0,68,0,31.4,0,57.8,0,62.5987
-65,0,65.5383,0,49.4,0,68,0,31.1,0,57.5,0,62.2998
-64,0,65.3133,0,49.1,0,68,0,30.8,0,57.2,0,62
-63,0,65.0783,0,48.8,0,68,0,30.5,0,56.9,0,61.7
-62,0,64.8333,0,48.5,0,68,0,30.2,0,56.6,0,61.4
-61,0,64.5785,0,48.2,0,68,0,29.9,0,56.3,0,61.1
-60,0,64.3147,0,47.9,0,68,0,29.6,0,56,0,60.8
-59,0,64.0428,0,47.6,0,68,0,29.3,0,55.7,0,60.5
-58,0,63.764,0,47.3,0,68,0,29,0,55.4,0,60.2
-57,0,63.4792,0,47,0,68,0,28.7,0,55.1,0,59.9
-56,0,63.1893,0,46.7,0,68,0,28.4,0,54.8,0,59.6
-55,0,62.8955,0,46.4,0,68,0,28.1,0,54.5,0,59.3
-54,0,62.5987,0,46.1,0,68,0,27.8,0,54.2,0,59
-53,0,62.2998,0,45.8,0,68,0,27.5,0,53.9,0,58.7
-52,0,62,0,45.5,0,68,0,27.2,0,53.6,0,58.4
-51,0,61.7,0,45.2,0,68,0,26.9,0,53.3,0,58.1
-50,0,61.4,0,44.9,0,68,0,26.6,0,53,0,57.8
-49,0,61.1,0,44.6,0,68,0,26.3,0,52.7,0,57.5
-48,0,60.8,0,44.3,0,68,0,26,0,52.4,0,57.2
-47,0,60.5,0,44,0,68,0,25.7,0,52.1,0,56.9
-46,0,60.2,0,43.7,0,68,0,25.4,0,51.8,0,56.6
-45,0,59.9,0,43.4,0,68,0,25.1,0,51.5,0,56.3
-44,0,59.6,0,43.1,0,68,0,24.8,0,51.2,0,56
-43,0,59.3,0,42.8,0,68,0,24.5,0,50.9,0,55.7
-42,0,59,0,42.5,0,68,0,24.2,0,50.6,0,55.4
-41,0,58.7,0,42.2,0,68,0,23.9,0,50.3,0,55.1
-40,0,58.4,0,41.9,0,67.9998,0,23.6,0,50,0,54.8
-39,0,58.1,0,41.6,0,67.9987,0,23.3,0,49.7,0,54.5
